artikelnummer,typicality,
7038989,0.82470506,
7039027,0.90821123,
7039028,0.88848525,
7039054,0.88796145,
7039055,0.92997444,
7040049,0.8980836,
7040058,0.8946751,
7040059,0.8795419,
7040472,0.9118695,
7040473,0.90153605,
7042166,0.8044816,
7042167,0.7367275,
7042168,0.7463908,
7045179,0.22949502,
7045180,0.27679038,
7045181,0.22732536,
7045183,0.21017538,
7045184,0.28700435,
7045185,0.26209566,
7046570,0.26106223,
7048566,0.7209595,
7048567,0.71596014,
7048568,0.7312006,
7049095,0.8020329,
7049097,0.78396547,
7054496,0.68027496,
7054867,0.7910451,
7054878,0.8025678,
7061400,0.60923356,
7061401,0.6857028,
7061403,0.5740243,
7061404,0.72287774,
7061914,0.50237787,
7066084,0.7188815,
7066353,0.7425689,
7066354,0.76618075,
7066577,0.49598226,
7066578,0.6712334,
7066595,0.6673695,
7066597,0.71478844,
7066604,0.6210409,
7067326,0.8439307,
7067327,0.8068085,
7067328,0.7767388,
7067329,0.84706765,
7067330,0.82916236,
7067331,0.7541539,
7067882,0.88478994,
7067883,0.88594216,
7068870,0.945133,
7068917,0.8275555,
7068962,0.90139097,
7068963,0.90139097,
7068969,0.87709,
7068970,0.87709,
7069524,0.7682306,
7069525,0.7435231,
7069528,0.8242769,
7069529,0.7652996,
7069530,0.86567867,
7069532,0.8019776,
7069533,0.8220413,
7069535,0.8739617,
7069536,0.8720136,
7070146,0.2709677,
7070152,0.2979274,
7070158,0.32488662,
7070159,0.36647364,
7070160,0.32181028,
7070163,0.31514642,
7070196,0.35214254,
7070249,0.28324026,
7070254,0.4501941,
7070908,0.85611576,
7070909,0.846733,
7070910,0.83484054,
7070911,0.7577386,
7070912,0.81811655,
7070916,0.86586004,
7071211,0.7554298,
7071218,0.7699583,
7071569,0.8513615,
7071570,0.8073609,
7071571,0.84292614,
7071575,0.77561635,
7071576,0.8414582,
7071671,0.55276984,
7071673,0.89234644,
7071674,0.779545,
7071680,0.7694834,
7071681,0.826305,
7071682,0.9084102,
7071683,0.65853924,
7071685,0.56430584,
7071686,0.5876142,
7073808,0.83888656,
7073809,0.8146259,
7073810,0.8220436,
7073811,0.5756892,
7073812,0.68482304,
7073813,0.70367134,
7073814,0.62531173,
7073815,0.91091996,
7073843,0.8837094,
7073844,0.9087853,
7073860,0.2082085,
7073861,0.24520676,
7073866,0.22145328,
7073867,0.22637938,
7075423,0.8138419,
7075443,0.7350272,
7076828,0.8382657,
7076829,0.8467087,
7078526,0.850122,
7079644,0.8416823,
7082061,0.80570894,
7086117,0.67628366,
7086119,0.5747382,
7086120,0.634947,
7086122,0.62266773,
7086125,0.59425545,
7086126,0.7312828,
7086927,0.64738554,
7086936,0.6836659,
7087199,0.63886714,
7087308,0.58402014,
7087309,0.617305,
7087310,0.65475154,
7088747,0.90105563,
7088748,0.7899939,
7089251,0.681678,
7089311,0.5246991,
7089514,0.5703307,
7089515,0.52745044,
7089522,0.53764725,
7089523,0.63068736,
7089524,0.5366812,
7090363,0.74356484,
7090364,0.7026171,
7090365,0.7249363,
7091141,0.7993776,
7091143,0.8413379,
7091147,0.8130235,
