artikelnummer,image_name,typicality
7073843,7073843_1.jpg,0.8837094
7073844,7073844_1.jpg,0.9087853
7023368,7023368_1.jpg,0.72357327
7027298,7027298_1.jpg,0.828577
7027886,7027886_1.jpg,0.88824964
7028328,7028328_1.jpg,0.2359795
7029813,7029813_1.jpg,0.50330675
7029815,7029815_1.jpg,0.5026254
7029817,7029817_1.jpg,0.5607156
7029821,7029821_1.jpg,0.5483042
7029831,7029831_1.jpg,0.5724465
7091141,7091141_1.jpg,0.7993776
7091143,7091143_1.jpg,0.8413379
7091147,7091147_1.jpg,0.8130235
7031611,7031611_1.jpg,0.7183902
7031614,7031614_1.jpg,0.6407565
7033512,7033512_1.jpg,0.58229524
7033513,7033513_1.jpg,0.6055731
7038989,7038989_1.jpg,0.82470506
7039027,7039027_1.jpg,0.90821123
7039028,7039028_1.jpg,0.88848525
7039054,7039054_1.jpg,0.88796145
7039055,7039055_1.jpg,0.92997444
7040049,7040049_1.jpg,0.8980836
7040058,7040058_1.jpg,0.8946751
7040059,7040059_1.jpg,0.8795419
7040472,7040472_1.jpg,0.9118695
7040473,7040473_1.jpg,0.90153605
7068870,7068870_1.jpg,0.945133
7068917,7068917_1.jpg,0.8275555
7045179,7045179_1.jpg,0.22949502
7045180,7045180_1.jpg,0.27679038
7045181,7045181_1.jpg,0.22732536
7045183,7045183_1.jpg,0.21017538
7045184,7045184_1.jpg,0.28700435
7045185,7045185_1.jpg,0.26209566
7049095,7049095_1.jpg,0.8020329
7049097,7049097_1.jpg,0.78396547
7046570,7046570_1.jpg,0.26106223
7474671,7474671_1.jpg,0.85328627
7048566,7048566_1.jpg,0.7209595
7048567,7048567_1.jpg,0.71596014
7048568,7048568_1.jpg,0.7312006
7054496,7054496_1.jpg,0.68027496
7054867,7054867_1.jpg,0.7910451
7054878,7054878_1.jpg,0.8025678
7061400,7061400_1.jpg,0.60923356
7061401,7061401_1.jpg,0.6857028
7061403,7061403_1.jpg,0.5740243
7061404,7061404_1.jpg,0.72287774
7061914,7061914_1.jpg,0.50237787
7203748,7203748_1.jpg,0.8680024
7066084,7066084_1.jpg,0.7188815
7066353,7066353_1.jpg,0.7425689
7066354,7066354_1.jpg,0.76618075
7066577,7066577_1.jpg,0.49598226
7066578,7066578_1.jpg,0.6712334
7066595,7066595_1.jpg,0.6673695
7066597,7066597_1.jpg,0.71478844
7066604,7066604_1.jpg,0.6210409
7067326,7067326_1.jpg,0.8439307
7067327,7067327_1.jpg,0.8068085
7067328,7067328_1.jpg,0.7767388
7067329,7067329_1.jpg,0.84706765
7067330,7067330_1.jpg,0.82916236
7067331,7067331_1.jpg,0.7541539
7067882,7067882_1.jpg,0.88478994
7067883,7067883_1.jpg,0.88594216
7069524,7069524_1.jpg,0.7682306
7069525,7069525_1.jpg,0.7435231
7069528,7069528_1.jpg,0.8242769
7069529,7069529_1.jpg,0.7652996
7069530,7069530_1.jpg,0.86567867
7069532,7069532_1.jpg,0.8019776
7069533,7069533_1.jpg,0.8220413
7069535,7069535_1.jpg,0.8739617
7069536,7069536_1.jpg,0.8720136
7070146,7070146_1.jpg,0.2709677
7070152,7070152_1.jpg,0.2979274
7070158,7070158_1.jpg,0.32488662
7070159,7070159_1.jpg,0.36647364
7070160,7070160_1.jpg,0.32181028
7070163,7070163_1.jpg,0.31514642
7070196,7070196_1.jpg,0.35214254
7070249,7070249_1.jpg,0.28324026
7070254,7070254_1.jpg,0.4501941
7070908,7070908_1.jpg,0.85611576
7070909,7070909_1.jpg,0.846733
7070910,7070910_1.jpg,0.83484054
7070911,7070911_1.jpg,0.7577386
7070912,7070912_1.jpg,0.81811655
7070916,7070916_1.jpg,0.86586004
7071211,7071211_1.jpg,0.7554298
7071218,7071218_1.jpg,0.7699583
7071569,7071569_1.jpg,0.8513615
7071570,7071570_1.jpg,0.8073609
7071571,7071571_1.jpg,0.84292614
7071575,7071575_1.jpg,0.77561635
7071576,7071576_1.jpg,0.8414582
7071671,7071671_1.jpg,0.55276984
7071673,7071673_1.jpg,0.89234644
7071674,7071674_1.jpg,0.779545
7071680,7071680_1.jpg,0.7694834
7071681,7071681_1.jpg,0.826305
7071682,7071682_1.jpg,0.9084102
7071683,7071683_1.jpg,0.65853924
7071685,7071685_1.jpg,0.56430584
7071686,7071686_1.jpg,0.5876142
7073808,7073808_1.jpg,0.83888656
7073809,7073809_1.jpg,0.8146259
7073810,7073810_1.jpg,0.8220436
7073811,7073811_1.jpg,0.5756892
7073812,7073812_1.jpg,0.68482304
7073813,7073813_1.jpg,0.70367134
7073814,7073814_1.jpg,0.62531173
7073815,7073815_1.jpg,0.91091996
7073860,7073860_1.jpg,0.2082085
7073861,7073861_1.jpg,0.24520676
7073866,7073866_1.jpg,0.22145328
7073867,7073867_1.jpg,0.22637938
7075423,7075423_1.jpg,0.8138419
7075443,7075443_1.jpg,0.7350272
7076828,7076828_1.jpg,0.8382657
7076829,7076829_1.jpg,0.8467087
7078526,7078526_1.jpg,0.850122
7079644,7079644_1.jpg,0.8416823
7082061,7082061_1.jpg,0.80570894
7086117,7086117_1.jpg,0.67628366
7086119,7086119_1.jpg,0.5747382
7086120,7086120_1.jpg,0.634947
7086122,7086122_1.jpg,0.62266773
7086125,7086125_1.jpg,0.59425545
7086126,7086126_1.jpg,0.7312828
7086927,7086927_1.jpg,0.64738554
7086936,7086936_1.jpg,0.6836659
7087199,7087199_1.jpg,0.63886714
7087308,7087308_1.jpg,0.58402014
7087309,7087309_1.jpg,0.617305
7087310,7087310_1.jpg,0.65475154
7088747,7088747_1.jpg,0.90105563
7088748,7088748_1.jpg,0.7899939
7089251,7089251_1.jpg,0.681678
7089311,7089311_1.jpg,0.5246991
7089514,7089514_1.jpg,0.5703307
7089515,7089515_1.jpg,0.52745044
7089522,7089522_1.jpg,0.53764725
7089523,7089523_1.jpg,0.63068736
7089524,7089524_1.jpg,0.5366812
7090363,7090363_1.jpg,0.74356484
7090364,7090364_1.jpg,0.7026171
7090365,7090365_1.jpg,0.7249363
7091613,7091613_1.jpg,0.90149766
7091614,7091614_1.jpg,0.9033064
7091857,7091857_1.jpg,0.6396939
7091858,7091858_1.jpg,0.69055825
7092609,7092609_1.jpg,0.9073828
7092611,7092611_1.jpg,0.8903716
7092794,7092794_1.jpg,0.6171151
7093867,7093867_1.jpg,0.58511406
7093936,7093936_1.jpg,0.72334
7093937,7093937_1.jpg,0.74447924
7093940,7093940_1.jpg,0.70314544
7093943,7093943_1.jpg,0.7320207
7093944,7093944_1.jpg,0.61732596
7095098,7095098_1.jpg,0.8912931
7122271,7122271_1.jpg,0.8088566
7122999,7122999_1.jpg,0.79502356
7123000,7123000_1.jpg,0.78528905
7123001,7123001_1.jpg,0.825897
